12.,美国女子抱婴儿袭警母女都被射杀,38.0万,https://tophub.today/l?e=1a22TwoIpbN8MVxqmQqLBpG5e49nkxhUv8W2mn8DlRXJtyqilCG3GM0BaqqLNerwnBuJfL%2BO0r3%2Bm4o%2BpIv%2BIhbvI2sqfvmZurSpmj%2FNJO%2FAH5tApdw725B0GN2h98K83zU4PZwhTTR3ljT%2FsGiEC4hpGeLKwwUrsL4Zs474aJj7s3Y%2BtUphvK9AioSgzprUVmYhJRk3vybQZhMn4wI1dPVyTzD51rCVq0WSsvDrZMGcj7xpeFfAUQcVVxO5eYnCbQLkH5S6cCClzWY9WZSz1IXwr1SJRg%2Fo%2FOizKb3CoYPA3zy%2BVDBrhQoEfAH5nnc3kO9dDoFHb5FhQzyxspFxJx9JZG6U9PTxPWWFcjVxamscxxUK7DqUnMfJnyLGdReTVCkfTXLIwfDfchPzwBhhGzmvQAC8qcuGU0H6j5UByqt%2BtfDp
13.,黄雅琼回应郑思维退出国际赛场,36.7万,https://tophub.today/l?e=5522BRN%2FDHTyCFwa%2FHKEsKkV286O4XAw3iCXR%2Fo0%2BYNi70yXDa7LRg0GeYWu7hxB0YpblhzXBDMl2XzHMM8LjUfPA3EboPfto9GDrnTpIZOMcHBp6bV8b3gksrGdg%2B%2FX3hsuqyKOh5t%2BlW%2BLoWUjYtSNIK75OZVe58KQ45D7vJhHSb%2FUxl2cIQNwAcMbPuMCFpSOTl%2Fv8y%2FyoSF3aPIJRJ9o7pkAnLnDaTSAlTdkrCjDPSuTCtwuwmWQxNDLULnYtnDsm5SMUmkUwisCFyKNjOItl1ofDnmHBrPFy23UGFBjA9%2FPaUuX7jgdXA5oUJoiYXOMDtq2olAuv7Ps%2B8J9Nhh1r02eFLFyEa%2FY5MZ3IurIja2tJsX7TtEBfqegSYjVk3EK6qDyf066THDhL2VPdSb3cTtf
14.,再见爱人4第七期视频没了,综艺 361721,https://tophub.today/l?e=393fMIj27hNttmiSAVExuFcbRHrJKmFfTageDJSebNJ54%2BMGF4YM8RG3IC9aA7vU8OFFpxdehhgdyDAiC8rL36jnEXoLlVStjK65Nm1bSm4Lam6tnkFX3v6wSFcDpoogjULKgKZoGo79iGnPZEPDZkmzNA2Z9QaRHHGI2%2Fo8bAtzNBshY4BIQAXBCJ5mn76ahrakduAlpAgm%2BZGmc%2BQszXNB3KPRFlkhFCWMEiwHMiZkk9vIakNgqN7EX84bUUv%2BSvO2z%2F6oJTzzUj%2FD4yofnXUjCfAk8PJF0VhHkJ9VSrk2Xzpj7lgkLpjzRL5ADqw7GGs6Y9HAQy%2FyRhlK6kUWpDI5o0ruFKTP6A
15.,王源头像P了个新帽子,33.9万,https://tophub.today/l?e=5edbfY62D1CJAeDZUADvv1OXTgaESxi1tiq1vRMfrpXzKIuD3N4dQEhzZt9v3hbDDwJgayV%2FgDUI4iLQbQP8c08s57Ctcqj%2BILY%2FGk5iMSkrV3zfPmMc8uSNwm%2F02rrWWyjHjEk8SCqMc1S6RFLgZy4ZcsGjOhBB48ViaoVtpLM753WjMZ2%2FK2auyj0OMevDCOxxHDmu%2FWyxbcQSxk2atVvgNn66n9feAIhWnYHIFKPEdt7WjVb9JSOMRoA0sjss6oRurpHUFjrO7hZ%2Fvxf0IEdDrvUKgtWsGuHHHO%2FjSl4AqcIGJMDGWfaYGA
16.,韩国人的精致穷,30.9万,https://tophub.today/l?e=fae2g8A6MG%2BLmeczjq8EGEQRKwwzkjlwBRAiIFbFj4yURCbdMVsrtgNdexoBX%2FFyEmYLZ5vUNCeHfD2etUNcjg76ekrJxUowRXI9o4j3CfEqjvknKCsT%2BvX40dqETL9E7US5T05NXX84bPcxDbyY5%2FghSHfXmIXCF0p%2FTtLevJSSfGYw2R%2FKM3kR2cGSNdwT8imxVlzzOqhWrpjq7Xlps%2Bds47upA0vSPTIwZiemIk%2BHPiKvPMwG64tocLUm849MEcxQTpkE4Keldfyy
17.,3人1分钟抢劫金店价值千万财物,27.9万,https://tophub.today/l?e=1d3esVbYyMyAMQM3MxjI8yFMaf6%2FaRI7WQV6bWZZGEbXuuKrxEZDrhCFlZUfCWcGMBREzyxZNHAcPQkiTZXbFR8nh95AMZ2serxTNnAv9PrFqGN4bSpEKwtrCM4mRI2TPShXzXi1MHqPgSQYaeboUvSGOSFgcylcXXDvsGW%2BjkntV%2FeMnQEXDEnIjpPUqtj6VTrhJMGBGAhaV0cQzvg%2BDAwsZA13yL6o2q0xbgm%2FDWix4Xmw4wklEUNadAP8N0cU1ShhYqwu%2B%2FjHSJdznOgk0mDB03Ye034iMPww0cMOWb805P2j0ANlZsZg7kn%2BTl6%2BrjGMjPgNTBIcVVVWyax9tJg4hU2LqPhRPUjSDMhJomIlUMpeNyL8evk1wUQLubyOU4wpJqbiQiI
18.,孙艺珍为2岁儿子庆生,26.0万,https://tophub.today/l?e=4c52KgHuvVSJBLaG63rUAYyWIFCrHf11QR3Q03C934Tfp9qiE2dV82hPzAGp2SnY1Wz%2FdGW2CAIpTKbu%2BDO5E1zcmJVj9gGN38KJvxSmq8H7%2FsLMuLRJRSQ3TIKM4H7t3KVDAWKtuhvhRQ06DPj6l5Ou0sPW9iPybReGZAjNDyK4rulAKAQ5kWSa3LErEnWpoLQW9czKwTx01yAJ8qOV0q%2B0DCZaukyZcNYcPYLef%2Fn4QGNU8MR%2FpytUbSeTQQnbGAg1UodjhWiInlL7yoNll7ok9uOZsN%2BEETc752tY7Rs2NtEUTLarsWOwMg
19.,胖东来调改永辉超市25天改了啥,25.0万,https://tophub.today/l?e=9fc99Ds3uVPJ3cE30rBDnntoE%2FmhNnUTeB4c0cQQ0URexVzpzX%2BMxIXIWKTEuQYi2kFD9VUZUVQ%2Bc8xdp4RsBTjhCPvJrh6BFpbfPCojb5GoSdbOQvVD18FLIjAxNFmN9pMJqF%2B8nNRyAC9e5GVesWYYhTihpK0ypDCTVsFBbk0%2BX5AFfarg7408Yrn2CcknveiAeIPT5SKxtclNZi53%2BRk1bkDUs5%2BSlOihhNC0Yj11xiq001OyzBaZfH0CrOPOACMJdrgDBftx%2FZJsvmghkFOYkqOo0LS3Hd3jf56tDuZoWBWRrZNq4ldjxF49ct3%2FaZ9pP%2B2xGP1EHEgQ4XvRGKv8iFLPYlR9%2FuVtvLWAxo36Y57Ybd0mo62XwdIdz1eM82dFwJEQUks
20.,王楠女儿落选国乒少年集训队,25.0万,https://tophub.today/l?e=cce9DG8H%2Fn%2F0%2B3i3QJraHxpCW3cXAYaRECdk3QWoGd0SRQkfQWQxV58A0HQaegc4MTx3MXpFNy1WvErmMbPXzk7YPLw8tP31ql9D%2BVsKXmg2MT7FyBlgrzFBjDyqxvj5KVvPV22xnkPGx%2FO8MxrvxyNnmGBQe8aVgwxIvmAMrMkuBEmnkFORTS8nBJYuILMpiUO%2BBCZnA6P7qmWQJkG2x%2Fk24qNyi%2FDgzH%2BYKC9Z%2FjHW4NAAB7cDYS1xziij6MR1%2FXEcAqjaC%2Ba18VIXyqt1T7R8QKAyrunjNvJRbhVSqThGerbs1uWR1IuszJzU8aPHCTaW5lVvGLHW4TnBTfDI1Au8E9SnpZxXp6ujY3D5pxWtFySynxlC%2FoKc3sedxvB0ixt6QNxS
21.,外籍男子人体藏毒123粒被海关查获,22.5万,https://tophub.today/l?e=a677uKiw9QRjbipeDn4%2BvVIBWdYoZbJQ%2FRIsiZHchuuXzHh6j0onIhxmyecX%2BHI3O5ezo31QR9TmVIVI7MnjUOV1zym81%2F%2FwI9XEb3rLYWny1bfMN0Jj6agZW1pv9G1DMtIRfDJJVVSWR%2Fgu9IjUFYqK1dLbhjJI4QOxXmPzA5r0bbUuepEjjsnWdKhWzc4MTISgvSSiq5x4FOnw0qrfXy8en6wm%2BZfuGOswLPNx6yEmrLI%2FlIFrJN5zqeaetPmAgzFblpMYVkjNorws4FzQm2MLlpj4jd9JpEfoPz4AdDioAwVtRD6fC%2Bo8i9nuWqP%2BJcrSXALcQsFEMLnH%2FfxHLTFbqogjjscsT7YnLXd19IA0e8OsdArkBSKuUilTcCCDytyqrMWzVfw5eQuOizQO1mdgC0dnkb5r
22.,唐嫣灰紫发色,21.4万,https://tophub.today/l?e=0c3fKYNNdtJVxdRK9erRs81mFPIrqIdoJdCJ1XCRrGtdlAJe%2Fni4fLtszlNqo1Q9yMgeyMQ6PXsv7sAub%2FyoOJlz4F5DsAvufy%2Fk%2FLgj64ZEXm6J26yU6QhBoVsFB7XNirblCJBhrOx27X7QLN5YLBTR6sJmAfAyipOZwUA20nqZOmA%2BzhKmhHtrRUa3ZtiXsi0CTp2y%2B%2FKTm1ML7faEYyK5vDuwnuwfyUv09IfPy1UXCzf7lloS5%2FVoI%2BAi
23.,林一长沙活动取消,21.3万,https://tophub.today/l?e=bb26oGNZD7smwf3qlb%2B%2BXT1hKtxMssjr0nscSwf4391cmI9FopLHWE%2FyJ3l1adChyIEtu1VOameg1hFGj4eNaF%2F4vWeJUYCdWinAORbhAwqSIVkAHYWtpIm8Wd8S7%2FzypKpfA5qpXcDFxh8Sd95vlIWuEKmt0iHKLjrE4AooJ0OiwY2BBv3F3VQSWR5HhVx981167jbZVK9%2F0KaXFNcIA4oXR%2FGfzoGuOg3p4PwMvAjd8meI6TeTDa7exztvQdEJsDTa2GXZ5Q6%2BR9hjYk9x7s%2BxablQZkl7mwci
24.,丁禹兮看人深情是因为六百度近视,综艺 209505,https://tophub.today/l?e=8577TaU6JNvQMODNa0DFRrl1cAMIiEFpgzF%2BlZmG1mgOzviOCa32QQaQbVFMUEwxSjH2lzXmHwysrKR4BcJZZUCswthDIsSfn0FOZQnhEN3dOHaAAHFruHK6XOM%2BNP%2Fvg2ihXw%2FCwV1vDqKTLRP%2BZSBomo0BnFETCeN87GiSyUsU5QYobRpz0XXoT8sOCWaNl3upYhuB8gd3wW3mlOmmDfN0eOtrAhFtBFSeuprgELizrGSTRnxs8OB13FmYwN0JOStwykQf0uj0XIzgkpKGYaGEf9rbdBJHHVws951nJLQMsFK7ZhFXh0VwHSVsu7PUZ6MqY05EF5JUJ9U2Y8JBL8UxE9X56lbhaYC2XNO%2FKZgPjntOf7JV5Hya5m3tbIiFmISQYthKA9tqByH5fi%2Bvnvre7neY%2BQAK7KAJNqvUfKFXTbaB
25.,TES官宣Meiko离队,19.9万,https://tophub.today/l?e=b206bhtzg0cILyfbgMgfYBXZi2A3X%2BUusLsTYck%2BDRW4B0CAvYXkE0T3Yhgoa2eVShPm%2Fy3pJoyLeCQBWmJM%2FClYu2S86dA4tXcKAb6mrEUm527t1HDrAUjTlwgAoAUFfZqAl5ZX8r%2BGnwqNJ3HIG2QehN%2F3Shb54GDlbADsMn5HXtkjpWGf4wst3BkzdKDud6CzKdZAcOq%2BTRgx8sjsM5au2lKif7o
26.,派出所回应山东一金店被抢,19.1万,https://tophub.today/l?e=e305eZbAwRackM%2F%2FtpsxikYeNIuCzIoBfgBRInXsz8AbLlszQjw5ErqXLMCq0zGG4vqjcI2J1u1Y9s8zYrtbnLUeS%2B6OQcT25rcX6oNwpZPVY1Sr4Y%2ByZBzdxXKybBuEtuFl0D0pFcHQyUhJV4Soco4cTLSIJHr%2BB5TGMEg43fG9%2BMBRtFF872jHgihTdvkrUeewnmhFk%2B4fyPQAAneXZcmWqKQuildyvH5fAOPIfbVw4BIXASSC5la2e4%2F9VbCMZv59MH8E8HCQ%2B9XKdwb2ff9VaR7TIA2Bhh6B7ZpPcq3lLJ9IbC5oDpoMY28JF56j44RpzzWJUIiXr%2BZtI02zWOyEjpvzkO5p9qaLnVbOeKImFV%2F7zv10
27.,崩坏星穹铁道,19.0万,https://tophub.today/l?e=452czdn8Aj6bPwXl0Hu%2BGEikNXMWjT4tulmSQoZqqHbzZhMGhHZfRtEc6%2FsI5P%2FhOTQvvTdH0AxGRLG6RMNBf684Z6M8N8mdTV3RhQiCHXNLoNKUklw%2FnihIAbLS%2Fn5s2PO02RqQAccSY%2BUs6F0qHJ1TclafLoO%2F%2BQDs%2BXPvwK4bQnlUFZCb8k93ueyUjcmUxm7PTAbEJbUcmqYAraubMvjgtMoLeiPUZkq3POSy1U7PU1VE94A2ep3mGCAA
28.,古巨基钻石败犬live首秀,演出 189465,https://tophub.today/l?e=4d3eUT0UACilm4NoeoPXnmiCyUc%2FIWtwZ2o7jkdSZw4twdmv4mKbInIqBRkBzOYyiI5gcxzero7bVQPlkauBssvjK8sW3PQb3UOXZNMhYNrICnJYx9V%2FAuEh7bIUBfOOjvQq7AuQ8KgSDcWJTI0su0njLuAV2jFCbxFOOCzB4uQKi5wyXOSkEztikPqx1mOkrxb%2FfDLIWhfj%2BC2WhAVlx5zzbscTLmYf4OmcAXzsNM1hmTygqWBAdbRKBznoT1ITV6kFtsQuqPySLtqn3fMYXdx%2BAGjTMLD4p%2B6O2IjThvVlIaqwl3yThotR6Zgj%2Bg
29.,老人吃腌萝卜后中毒整个人紫了,18.9万,https://tophub.today/l?e=9516AtTVgnmeHKpAKlF4FOOlL%2FAwlXcH%2BxlVuPae5L010WpbhbsVs2G4G%2BLHAxOraeDHYoTm8UIVukvEAvTnFaKRBliZDhh%2FtYZkX7IS13xPslstxUkTX1RNbU4DYaFnACYME8U%2B5uzxcPUFUp5GIM1sHYLhwn7%2BxYPOO%2BumopuyQcHfkz%2By2tEISYvNSb8Z7BQhXClVQ3YGRHR%2FyNMeKVBqPlXPWYHrGN%2FXS9KEDV0hn3%2BimSLmqe0heO1Rtrk9tLZ3MUyOshwsoSjhzS4IZdbkqucBwA78Z%2FH0UF4zWvuLwbV%2BM2nA0FvWFYbSFUulMvMN6ZczQxjEAdwJnksMxwbaCgTy3uo2XZzIaO%2B64dYgFP9GhCDTlNvPAjx1BEJTyCkfHpJe%2B%2Br4hfzu39FJWwf02pag
30.,年轻人买的水果半数是情感商品,18.8万,https://tophub.today/l?e=b51bg%2BRkZqPJDOZaOf02DxaRISYjPjX7Uft%2FEuocnf9b2FwBbg8ji4wiPdSCn%2FmUzLVYtjNE5Naojy5HXuN1KHbsXZU%2F9VdJWqrm67E%2BvCQS0oRGbcf1r%2F3JZ2%2FCRdqjveut%2Bo%2BepBAzmomQGD5ibK8pculQ8t6lMnaX35EkbcEs0TxOvWFSyGkmeRUFRLildgGDK75auCMmU%2BkY5S%2FlvcxN3Qtfb%2BhZQT%2F8qKLWtYsgdmcI1ylAeY0XI9CqQ9481NuqAMxP%2FnJuWDjnMt6Lyz79Kx8gck6fxMa%2BxXCPBoh7zEettTdd0Jal7GGhWqqDZHoq5plL11vANH43D8VuIwow4lX78g0DgAWeuaNeyyljniCkp6MJMaAs7tdk7X0RuiAfgoduG%2FAUvMNTEu9vMQKgkvBS
31.,张杰唐嫣荧幕合作,18.5万,https://tophub.today/l?e=dfebn46m%2FtlZu01nF21dc1G8lgBihJSpjjf4zWrK3pwtkFXseo3d5bETTB7WESMzdwyxthawb8W6iME7QMjXiyvadRB8O3w%2Ff5TietYnTTYTp8QABiUuZ5yNxAbFwYx%2FHylZItLr1dLcGNdz3nnHzka0llGphpFrSJ5jwVIJ76Z73dMW1Q%2Bmy3%2Br97SEK6LLdRbt1tNcyUzl7Xc7X1iSpYzBdxqXfqAp2VV9eWpItMCL3ZEEm2Hzo9IIHyMcdAjmXbNIwo7xn7add36ug%2F3EE1cs3QMt3G9i11gF
32.,王海质疑李行亮麦琳争议为剧本,18.1万,https://tophub.today/l?e=8f5ewBIuXN6Ov39YRrRO5%2B7OzjR4a8EAV60bxGkAtUmBNqjHF9ERlekGbGcQnP0%2B1vvbcO498azTwyWob06AMegDi%2F1E8P8bUYxdgqylit4USD9SIHXiU5JyEXQQmuPLQLiM0KFHEPNtn36I0Vi9QE6EDRKxE2EIy3WUpRpblecVt7aZ5%2BaXbrXU%2BfiMXJrcxKRLhgE2vvJtoVJ5D4%2B879L%2FZ8IM5DUfjrL95mbqrsGiWX69xFfvgeNlQS8DBdIttcf6UGs9GcB%2B6JUS7flDR4pwnXcs3CrhFp1yuoJwIizBJG6ufhLaKa5hmnG%2BHY4c%2Bc2fVFOMtNeALnPZyd%2B0AZ1i7Ez84JOoF3Jm6xA5BsInvV19kScjBc7B4CMRzZh9geEWW2ZJmYefffwLxaQVvBLQHnjL
33.,老师向家长借60多万买房还钱困难,17.4万,https://tophub.today/l?e=a703fIFpIQaEgg9YWOP8adfZaqbVIg%2FO%2FVeyimHO6ZXQjV5OOkHpZObuCxSTUPFMAMrp%2FT6jDU2KfJp4Sd%2F2mxB0Oyv15pIlyZBVT4QMgij6amsHGqACojQXbPbWr7qsZLKvP5dcFWGe0jtqR7zER7PtVv6N7YsQqIOGqUiFGFiiMRvaqpbbm%2BfL%2B%2Fuvs7K4550Y954voiROJFOS0SfyXFBS%2FcKul5sMGPviJPFSmkIIlxYQ8OHrjs45kzjX0DTVHZBa%2BzSlJonK0ihi7NQ0Ybzv%2FqXKBo65cTNIDH8oGxcwiU3tcXgkG65StrGzJXm5xeumoo6sGDqzoD6wlbOgNisUCZH2IWpmDkmBsDfGpIwX2aNU11wWiEYv7f84NRBzE5QjP5604t5I95%2FXxZTjXQP8ZtK7s40
34.,南宁一家长称15岁女儿孕期被砍伤,16.5万,https://tophub.today/l?e=ce41SEgE%2Fgjp5dY%2F2umy8i1Q9DYX1k2KRnGug6lpH9CArceA5S0%2FYwLS6qXUdHfT1oJucemfyFjkRf%2FqxtuEmPaFpEi2G34RlPn%2FWHq3%2FB1SY1igcBdeFttARg74EcuCNJDS9aJYrzC2a64y544%2BtMCSFUXGRZ7ssintsTJkRcxr0P6tSfEko4qjTJ20Th3v2yDSv%2FPuGN%2FordKZ6saWVStR9TrOj0hRIV%2F5NWnAaJW0dQKMlPXW5AfcP8VHUPml911bnn%2B3zP6CMXSU6ZiH8NjjiB9FoJRAH8lspezIx%2FaxRAWEp7WiQpa7Xs%2B%2FOJ2xpXft69DukaEuEORH8ilXlxxVQJe%2FVALgUlFinhu9WEbnx70Q8k3Ih8SbZ262NbEFQSoUrugW4unKsqyLulHNDEIVK9CsQ7s
35.,珠海户籍居民可一周去一次澳门,15.7万,https://tophub.today/l?e=19068y2KzGhTwsVd3wDqWpLgLyiv0hr1Ujr%2F1XWBnmorY%2FZSCC3EV%2Bm7twaNWmvg6i2N6IHBgunaq6x%2B3kvGZ8bSwTaS5C%2FIWhRHYjDbCcNqf5SkRdLOc3ZvnnYMBdGHnVb1vN8IT9O%2FVBCrXuVBud7SCwOi4c9wrxLbrQ4ZndUR%2FNgxrw4vaGxJWtkhlQ4SfYPkNkvSxVsGlu0DkILNul01G7KQq9gyDhuQlV7m1%2FdFSYJZwI5bTkeSqbxwSyyvBgJq7c7n%2FESW5BatdoPqB6wl%2BLee2SUUC1%2FD6g29YQxa58an%2BPeNP8hvXGWMo58Vp%2Fs%2BfAB7RYTK7EL8cYaIKxDILSVq3zpzSGVYNbiVhEmGt2xvUZTkLDI7vR24wR75TPnPjt%2BxHiNN1xPwNT0z5K9OAVvQ
36.,林一霸王茶姬活动,15.6万,https://tophub.today/l?e=cd7coNIsse2pwjic3TlZd3QBhDXAy6w886ro0AbmI%2FVE6sRmDsFn6Y1S%2BmVe1Og7ddDGBfbXldYO6EA%2FwiUOiNWfW49%2FWEAgkcSYqJTSRzZMnAvAxBayMfRK8ujx5wrlLZxmMfeJm6GPII9IK0ar8lHzc2txxicN5e8n1%2FNMJHLb8qOv03jTtHl50ZBU7WetSAYZ%2B23Dx1VZ6MKN3fxV1JXpD7yuKw9emAE0UjHfyAay%2Fx5vGgBzjdRS7lgbeGQRp6ZBJ8URsUD4giHYSSDWf5B%2FoG1BT1psqJVl
